attendance_rate_14d,attendance_rate_30d,absence_streak,late_ratio_14d,gpa_overall,avg_grade_last5,grade_trend,exam_fail_rate,homework_completion_rate,overdue_rate,missed_homework_streak,has_overdue_payment,max_debt_days,overdue_payment_count,dropped_out
0.251818,0.284627,0.800000,0.327156,0.105226,0.054719,0.179346,0.512953,0.054611,0.452064,0.600000,1.000000,0.078182,0.800000,1.000000
0.521670,0.561978,0.400000,0.217893,0.533928,0.439845,0.351461,0.547668,0.252707,0.604695,0.200000,1.000000,0.366712,0.400000,1.000000
0.577166,0.628476,0.500000,0.903063,0.547998,0.485236,0.219940,0.474075,0.278543,0.431605,0.200000,0.000000,0.000000,0.000000,1.000000
0.521465,0.383001,0.200000,0.532970,0.528638,0.453814,0.572674,0.296294,0.455062,0.281624,0.300000,1.000000,0.094273,0.600000,0.000000
0.597000,0.586292,0.100000,0.051101,0.725837,0.685769,0.519525,0.061346,0.951120,0.290797,0.000000,0.000000,0.000000,0.000000,0.000000
0.475134,0.571550,0.300000,0.278500,0.341369,0.212480,0.186832,0.589226,0.329439,0.519534,0.500000,1.000000,0.382004,0.600000,1.000000
0.581964,0.537944,0.400000,0.407225,0.277696,0.266907,0.558479,0.593320,0.368818,0.471465,0.300000,1.000000,0.044009,0.600000,0.000000
0.631438,0.547123,0.000000,0.290868,0.504830,0.521757,0.389648,0.139919,0.498007,0.328780,0.100000,1.000000,0.174733,0.200000,0.000000
0.842959,0.858127,0.000000,0.147129,0.901585,0.940874,0.482920,0.039510,0.787977,0.069378,0.000000,0.000000,0.000000,0.000000,0.000000
0.886848,0.890456,0.100000,0.367429,0.810547,0.881195,0.533943,0.264704,0.870972,0.389921,0.100000,0.000000,0.000000,0.000000,0.000000
0.857282,0.830333,0.000000,0.220096,0.830262,0.820665,0.624495,0.066594,0.801382,0.226701,0.000000,0.000000,0.000000,0.000000,0.000000
0.467939,0.386738,0.200000,0.262320,0.404402,0.226815,0.499123,0.507267,0.425665,0.376030,0.100000,1.000000,0.231127,0.400000,1.000000
0.590481,0.560303,0.200000,0.271173,0.240891,0.208765,0.425885,0.462668,0.634606,0.710383,0.200000,0.000000,0.000000,0.000000,1.000000
0.983227,0.994191,0.000000,0.541459,0.563899,0.541369,0.307480,0.238126,0.666132,0.386814,0.100000,0.000000,0.000000,0.000000,0.000000
0.812050,0.792252,0.000000,0.001684,0.637722,0.609175,0.424236,0.121439,0.828621,0.072312,0.000000,0.000000,0.000000,0.000000,0.000000
0.411931,0.370117,0.200000,0.388010,0.316151,0.305689,0.308354,0.069055,0.626268,0.522369,0.100000,1.000000,0.123558,0.600000,1.000000
0.797621,0.825997,0.000000,0.102650,0.714204,0.715439,0.448762,0.214877,0.873869,0.308174,0.000000,0.000000,0.000000,0.000000,0.000000
0.400402,0.312504,0.200000,0.347494,0.281367,0.342486,0.707886,0.573832,0.453866,0.029084,0.400000,0.000000,0.000000,0.000000,0.000000
0.573027,0.635604,0.400000,0.401299,0.518707,0.370810,0.474307,0.619556,0.517183,0.791844,0.400000,1.000000,0.151334,0.400000,1.000000
0.725435,0.734731,0.000000,0.105672,0.840558,0.840046,0.462070,0.045727,0.823661,0.022198,0.000000,0.000000,0.000000,0.000000,0.000000
0.811400,0.783050,0.200000,0.191007,0.524452,0.478720,0.479806,0.191250,0.672565,0.099475,0.000000,0.000000,0.000000,0.000000,0.000000
0.641339,0.601377,0.100000,0.219877,0.793512,0.734989,0.688961,0.159852,0.774064,0.260431,0.200000,1.000000,0.097318,0.400000,0.000000
0.920113,0.862486,0.000000,0.070965,0.624671,0.621564,0.616435,0.130632,0.832601,0.071625,0.000000,0.000000,0.000000,0.000000,0.000000
0.909981,0.896522,0.000000,0.022601,0.645426,0.611980,0.665058,0.067876,0.864600,0.036076,0.000000,0.000000,0.000000,0.000000,0.000000
0.606852,0.605980,0.000000,0.059753,0.750754,0.730273,0.487258,0.134391,0.944702,0.310904,0.100000,0.000000,0.000000,0.000000,0.000000
0.765573,0.786348,0.000000,0.311096,0.872648,0.832413,0.648356,0.088009,0.711670,0.073834,0.000000,0.000000,0.000000,0.000000,0.000000
0.839289,0.858325,0.100000,0.317638,0.792470,0.751668,0.379209,0.374898,0.739151,0.132213,0.000000,0.000000,0.000000,0.000000,0.000000
0.431991,0.479463,0.600000,0.310811,0.564271,0.366769,0.285509,0.334008,0.348677,0.442599,0.400000,1.000000,0.153407,0.600000,1.000000
0.857103,0.840923,0.000000,0.069267,0.904420,0.953699,0.632194,0.081417,0.955950,0.021876,0.000000,0.000000,0.000000,0.000000,0.000000
0.645283,0.646609,0.000000,0.210134,0.441802,0.453448,0.542807,0.062479,0.608783,0.116701,0.000000,0.000000,0.000000,0.000000,0.000000
0.924504,0.921105,0.200000,0.109968,0.660165,0.738032,0.424399,0.527400,0.622800,0.176329,0.000000,0.000000,0.000000,0.000000,0.000000
0.316216,0.301402,0.000000,0.270575,0.484928,0.436912,0.468034,0.515840,0.584053,0.151686,0.300000,1.000000,0.000850,0.600000,1.000000
0.760584,0.754480,0.000000,0.057890,0.884928,0.831856,0.313357,0.097893,0.923547,0.172500,0.000000,0.000000,0.000000,0.000000,0.000000
0.931429,0.891639,0.000000,0.153191,0.912340,1.000000,0.466863,0.065365,0.821720,0.021077,0.000000,0.000000,0.000000,0.000000,0.000000
0.085090,0.199682,0.300000,0.605353,0.298961,0.155499,0.226493,0.720447,0.062261,0.551711,0.400000,0.000000,0.000000,0.000000,0.000000
0.906064,0.873154,0.000000,0.090458,0.915915,1.000000,0.664126,0.031530,0.895779,0.020087,0.000000,0.000000,0.000000,0.000000,0.000000
0.300998,0.290203,0.600000,0.656063,0.340165,0.148257,0.257069,0.534981,0.207748,0.723847,0.400000,0.000000,0.000000,0.000000,0.000000
0.934011,0.879751,0.200000,0.129941,0.787778,0.859397,0.691502,0.155338,0.724005,0.163083,0.200000,0.000000,0.000000,0.000000,0.000000
0.362689,0.328041,0.000000,0.224733,0.302804,0.221328,0.306988,0.235504,0.622944,0.187012,0.300000,1.000000,0.229770,0.400000,1.000000
0.908212,0.930750,0.000000,0.061903,0.608347,0.668096,0.470639,0.071499,0.904186,0.090158,0.000000,0.000000,0.000000,0.000000,0.000000
0.353764,0.328961,0.300000,0.389319,0.236266,0.376694,0.338515,0.376930,0.517853,0.205539,0.200000,1.000000,0.264407,0.400000,0.000000
0.491608,0.481584,0.000000,0.225494,0.616716,0.673698,0.785977,0.036785,0.695013,0.208793,0.000000,0.000000,0.000000,0.000000,0.000000
0.914573,0.862484,0.000000,0.196716,0.361785,0.436015,0.491547,0.316023,0.831278,0.259770,0.000000,1.000000,0.001163,0.400000,0.000000
0.740382,0.765295,0.000000,0.313236,0.680245,0.766164,0.663623,0.052350,0.943654,0.104496,0.000000,0.000000,0.000000,0.000000,0.000000
0.175641,0.083426,0.300000,0.502048,0.283247,0.178614,0.424892,0.259363,0.484489,0.632751,0.300000,0.000000,0.000000,0.000000,1.000000
0.925776,0.934794,0.000000,0.079931,0.672517,0.773666,0.604252,0.421360,0.937958,0.179074,0.000000,0.000000,0.000000,0.000000,0.000000
0.907973,0.881279,0.000000,0.072347,0.464190,0.512802,0.365645,0.042231,0.814929,0.065666,0.000000,0.000000,0.000000,0.000000,0.000000
0.776314,0.789003,0.000000,0.040443,0.926948,0.957093,0.678276,0.134868,0.779759,0.064938,0.000000,0.000000,0.000000,0.000000,0.000000
0.192441,0.235898,0.700000,0.453753,0.221712,0.179370,0.296513,0.831035,0.127169,0.903123,0.700000,1.000000,0.403956,0.600000,1.000000
0.497685,0.512186,0.000000,0.399068,0.518049,0.491444,0.459524,0.144295,0.685868,0.527019,0.100000,0.000000,0.000000,0.000000,0.000000
0.445394,0.480450,0.200000,0.023351,0.560899,0.637778,0.513378,0.165185,0.847307,0.054566,0.100000,0.000000,0.000000,0.000000,0.000000
0.971714,0.936449,0.000000,0.086363,0.662503,0.652533,0.415294,0.004449,0.797848,0.080551,0.000000,0.000000,0.000000,0.000000,0.000000
0.134381,0.204258,0.400000,0.671999,0.370229,0.176905,0.252564,0.273979,0.223255,0.300622,0.400000,1.000000,0.574496,0.400000,1.000000
0.847862,0.825860,0.000000,0.101818,0.763845,0.941185,0.544363,0.088802,0.903998,0.137149,0.100000,0.000000,0.000000,0.000000,0.000000
0.440295,0.365919,0.400000,0.335203,0.470298,0.441071,0.338619,0.464923,0.406076,0.544424,0.200000,0.000000,0.000000,0.000000,1.000000
0.412270,0.519065,0.300000,0.186538,0.424513,0.276822,0.278366,0.355733,0.507916,0.588623,0.500000,1.000000,0.130489,0.400000,1.000000
0.256249,0.205543,0.100000,0.140980,0.493364,0.439553,0.406469,0.537278,0.349392,0.316629,0.200000,0.000000,0.000000,0.000000,0.000000
0.816647,0.762454,0.100000,0.138048,0.705167,0.716388,0.457960,0.103963,0.788579,0.182785,0.100000,0.000000,0.000000,0.000000,0.000000
0.976885,0.933076,0.000000,0.025058,0.582363,0.603434,0.494321,0.156043,0.862481,0.067035,0.000000,0.000000,0.000000,0.000000,0.000000
0.925902,0.915860,0.000000,0.188495,0.953403,0.993269,0.613003,0.080674,0.955707,0.061166,0.000000,0.000000,0.000000,0.000000,0.000000
0.935537,0.881733,0.000000,0.073132,0.914018,0.944780,0.587413,0.051082,0.876672,0.119000,0.000000,0.000000,0.000000,0.000000,0.000000
0.831349,0.803372,0.100000,0.247281,0.711825,0.676468,0.335312,0.179665,0.902683,0.158458,0.100000,0.000000,0.000000,0.000000,0.000000
0.527265,0.519827,0.300000,0.088076,0.219992,0.000000,0.548052,0.499583,0.545921,0.546396,0.000000,0.000000,0.000000,0.000000,0.000000
0.866765,0.866850,0.000000,0.201577,0.772075,0.779919,0.657709,0.287869,0.736157,0.276619,0.200000,0.000000,0.000000,0.000000,0.000000
0.519525,0.480727,0.300000,0.420222,0.496484,0.384551,0.486110,0.025404,0.317661,0.495579,0.300000,1.000000,0.368662,0.600000,0.000000
0.558308,0.537733,0.000000,0.023393,0.681095,0.682462,0.748626,0.064325,0.937298,0.130042,0.000000,0.000000,0.000000,0.000000,0.000000
0.538819,0.599303,0.100000,0.338082,0.440683,0.388923,0.074889,0.353087,0.162425,0.353409,0.300000,1.000000,0.022767,0.400000,1.000000
0.996502,0.999741,0.000000,0.086879,0.928819,0.961661,0.521677,0.046111,0.826458,0.009295,0.000000,0.000000,0.000000,0.000000,0.000000
0.308541,0.390894,0.500000,0.885319,0.458285,0.347001,0.310222,0.344225,0.500638,0.729085,0.400000,0.000000,0.000000,0.000000,0.000000
0.144595,0.208145,0.600000,0.584457,0.561458,0.490752,0.323989,0.629525,0.596348,0.346555,0.200000,0.000000,0.000000,0.000000,1.000000
0.601447,0.582786,0.000000,0.229104,0.329223,0.350925,0.580169,0.138081,0.806097,0.130135,0.200000,0.000000,0.000000,0.000000,0.000000
0.474624,0.348744,0.000000,0.254512,0.493443,0.447588,0.571932,0.465368,0.292629,0.714838,0.300000,1.000000,0.077540,0.400000,1.000000
0.101040,0.086042,1.000000,0.396061,0.073102,0.000000,0.186695,0.397423,0.057926,0.573647,0.500000,1.000000,0.233024,0.600000,1.000000
0.496745,0.471694,0.000000,0.055825,0.568824,0.493005,0.530439,0.205380,0.732563,0.315399,0.100000,0.000000,0.000000,0.000000,0.000000
0.914741,0.900084,0.000000,0.193236,0.569606,0.624236,0.624129,0.240916,0.791740,0.016026,0.000000,0.000000,0.000000,0.000000,0.000000
0.712217,0.644792,0.000000,0.104752,0.797585,0.835949,0.138858,0.197597,0.592461,0.047177,0.200000,0.000000,0.000000,0.000000,0.000000
0.166507,0.300173,0.300000,0.411437,0.584951,0.440217,0.125471,0.575940,0.313571,0.521171,0.500000,0.000000,0.000000,0.000000,1.000000
0.370601,0.397418,0.300000,0.154455,0.243030,0.144419,0.782987,0.401252,0.429105,0.239873,0.100000,1.000000,0.025594,0.200000,0.000000
0.887287,0.882555,0.000000,0.063002,0.831658,0.869126,0.617344,0.160852,0.814559,0.018623,0.100000,0.000000,0.000000,0.000000,0.000000
0.500925,0.565786,0.000000,0.267967,0.725689,0.741089,0.510467,0.185808,0.676704,0.217571,0.200000,0.000000,0.000000,0.000000,0.000000
0.327276,0.306091,0.200000,0.411138,0.243065,0.230596,0.390529,0.664990,0.501499,0.365407,0.300000,0.000000,0.000000,0.000000,0.000000
0.678831,0.708418,0.000000,0.175211,0.633419,0.708770,0.472673,0.208276,0.582077,0.078832,0.100000,0.000000,0.000000,0.000000,0.000000
0.728489,0.763401,0.000000,0.126938,0.873353,0.901998,0.517406,0.179039,0.872365,0.001998,0.000000,0.000000,0.000000,0.000000,0.000000
0.582909,0.601586,0.000000,0.188117,0.684816,0.702362,0.748446,0.097518,0.754412,0.116155,0.100000,0.000000,0.000000,0.000000,0.000000
0.278857,0.121370,0.400000,0.317972,0.334929,0.091210,0.370053,0.419680,0.452046,0.457621,0.000000,0.000000,0.000000,0.000000,1.000000
0.872869,0.774324,0.100000,0.250401,0.317596,0.357655,0.519958,0.149452,0.773334,0.199227,0.000000,0.000000,0.000000,0.000000,0.000000
0.066951,0.157239,0.600000,0.454616,0.215327,0.180016,0.137278,0.773987,0.270057,0.784011,0.400000,0.000000,0.000000,0.000000,1.000000
0.221339,0.296392,0.200000,0.272881,0.448939,0.342173,0.425861,0.308524,0.279872,0.741770,0.200000,1.000000,0.070914,0.600000,0.000000
0.736313,0.686916,0.100000,0.272384,0.780766,0.794547,0.370501,0.235282,0.680011,0.058394,0.200000,0.000000,0.000000,0.000000,0.000000
0.018985,0.083821,0.600000,0.746567,0.019805,0.000000,0.074785,0.718056,0.157168,0.783967,0.800000,1.000000,0.086806,0.600000,1.000000
0.290119,0.327358,0.300000,0.759160,0.496891,0.411351,0.251399,0.727468,0.361534,0.376556,0.600000,0.000000,0.000000,0.000000,0.000000
0.805886,0.804035,0.000000,0.081604,0.736021,0.781489,0.398737,0.248535,0.817156,0.032006,0.000000,0.000000,0.000000,0.000000,0.000000
0.645043,0.571830,0.100000,0.064570,0.803918,0.708133,0.454634,0.171133,0.702005,0.117290,0.100000,0.000000,0.000000,0.000000,0.000000
0.952694,0.916849,0.000000,0.144237,0.608375,0.607847,0.590658,0.015391,0.893009,0.035761,0.000000,0.000000,0.000000,0.000000,0.000000
0.218180,0.308798,0.600000,0.272914,0.685663,0.556425,0.164571,0.099226,0.108073,0.656299,0.500000,0.000000,0.000000,0.000000,0.000000
0.570623,0.655739,0.600000,0.531501,0.452014,0.290884,0.365227,0.509628,0.281088,0.686740,0.300000,1.000000,0.257085,0.600000,1.000000
0.501383,0.506375,0.000000,0.433303,0.716033,0.664197,0.809358,0.031982,0.869934,0.017310,0.000000,0.000000,0.000000,0.000000,0.000000
0.824976,0.853026,0.000000,0.066949,0.878096,0.897936,0.471764,0.027242,0.910385,0.117196,0.000000,0.000000,0.000000,0.000000,0.000000
0.487980,0.486448,0.400000,0.172126,0.308995,0.236898,0.477814,0.430138,0.220955,0.294003,0.100000,0.000000,0.000000,0.000000,0.000000
0.785316,0.789334,0.000000,0.311735,0.346677,0.425878,0.656803,0.037856,0.637400,0.029830,0.000000,0.000000,0.000000,0.000000,0.000000
0.849881,0.860768,0.200000,0.230426,0.903905,0.841384,0.577178,0.070706,0.756396,0.062730,0.000000,0.000000,0.000000,0.000000,0.000000
0.898931,0.955835,0.000000,0.049842,0.511306,0.598512,0.569061,0.097460,0.917328,0.035107,0.000000,0.000000,0.000000,0.000000,0.000000
0.729996,0.696685,0.000000,0.011280,0.879423,0.978475,0.593176,0.007754,0.852867,0.002438,0.000000,0.000000,0.000000,0.000000,0.000000
0.745878,0.676499,0.100000,0.099222,0.736132,0.748732,0.602594,0.190115,0.683720,0.178367,0.000000,0.000000,0.000000,0.000000,0.000000
0.767816,0.790788,0.000000,0.034589,0.775321,0.769701,0.642498,0.052070,0.784346,0.069935,0.000000,0.000000,0.000000,0.000000,0.000000
0.351989,0.467589,0.600000,0.432783,0.381340,0.304501,0.254539,0.368906,0.458274,0.214932,0.600000,1.000000,0.238433,0.400000,1.000000
0.369850,0.354044,0.100000,0.493351,0.310980,0.319637,0.567514,0.269451,0.453667,0.529823,0.000000,1.000000,0.062856,0.400000,0.000000
0.989000,1.000000,0.100000,0.122306,0.940366,0.977640,0.574455,0.186181,0.823005,0.076417,0.000000,0.000000,0.000000,0.000000,0.000000
0.968512,1.000000,0.000000,0.174636,0.656149,0.587401,0.601541,0.033726,0.843366,0.086198,0.000000,0.000000,0.000000,0.000000,0.000000
0.853303,0.820722,0.000000,0.205965,0.797939,0.754718,0.433039,0.010066,0.876493,0.144315,0.000000,0.000000,0.000000,0.000000,0.000000
0.955045,0.914338,0.000000,0.224535,0.522904,0.567456,0.468266,0.253231,0.660060,0.093414,0.000000,0.000000,0.000000,0.000000,0.000000
0.664857,0.695663,0.000000,0.095824,0.822024,0.887160,0.704212,0.015028,0.782733,0.029784,0.000000,0.000000,0.000000,0.000000,0.000000
0.459451,0.528323,0.100000,0.684295,0.349718,0.268126,0.229116,0.345344,0.226339,0.657036,0.500000,1.000000,0.345569,0.400000,1.000000
0.394809,0.317497,0.000000,0.362253,0.516027,0.488387,0.227132,0.370723,0.304919,0.754816,0.300000,0.000000,0.000000,0.000000,0.000000
0.573703,0.671399,0.300000,0.516885,0.631779,0.525092,0.405802,0.577347,0.142580,0.342204,0.400000,0.000000,0.000000,0.000000,1.000000
0.811637,0.807740,0.000000,0.132150,0.817117,0.813647,0.680145,0.015980,0.912251,0.119933,0.000000,0.000000,0.000000,0.000000,0.000000
0.990800,0.992532,0.000000,0.087036,0.524260,0.492268,0.539061,0.091025,0.870428,0.053105,0.000000,0.000000,0.000000,0.000000,0.000000
0.881055,0.847588,0.000000,0.147799,0.711692,0.650235,0.574319,0.306106,0.813645,0.099931,0.000000,1.000000,0.059081,0.200000,0.000000
0.836478,0.787549,0.000000,0.127294,0.768622,0.798912,0.520410,0.130656,0.821529,0.031190,0.000000,0.000000,0.000000,0.000000,0.000000
0.946080,0.953633,0.200000,0.195154,0.414901,0.401207,0.434222,0.203354,0.716479,0.158795,0.000000,0.000000,0.000000,0.000000,0.000000
0.703972,0.691260,0.000000,0.004298,0.928959,0.888956,0.435959,0.076419,0.882993,0.033755,0.000000,0.000000,0.000000,0.000000,0.000000
0.940616,0.940185,0.000000,0.110384,0.753996,0.782831,0.591419,0.229114,0.960580,0.071209,0.000000,0.000000,0.000000,0.000000,0.000000
0.212578,0.100057,0.100000,0.261285,0.495320,0.389581,0.298613,0.510398,0.739410,0.480799,0.300000,0.000000,0.000000,0.000000,1.000000
0.296104,0.402508,0.200000,0.517919,0.469987,0.399213,0.395894,0.547378,0.409562,0.327323,0.400000,1.000000,0.346108,0.400000,1.000000
0.948936,0.955299,0.000000,0.102835,0.863228,0.842378,0.579793,0.018160,0.929786,0.081195,0.000000,0.000000,0.000000,0.000000,0.000000
0.524376,0.439290,0.400000,0.172688,0.485645,0.265009,0.556985,0.190198,0.576544,0.582178,0.300000,0.000000,0.000000,0.000000,0.000000
0.804574,0.681594,0.100000,0.057820,0.774355,0.807970,0.586953,0.368472,0.810777,0.105383,0.000000,0.000000,0.000000,0.000000,0.000000
0.636452,0.611436,0.000000,0.125768,0.770899,0.766876,0.488479,0.028743,0.771128,0.030711,0.000000,0.000000,0.000000,0.000000,0.000000
0.744434,0.727924,0.000000,0.304997,0.937831,0.940408,0.742053,0.218138,0.925122,0.111366,0.000000,0.000000,0.000000,0.000000,0.000000
0.719790,0.740704,0.000000,0.131611,0.636750,0.599373,0.363749,0.212313,0.847734,0.216176,0.000000,0.000000,0.000000,0.000000,0.000000
0.597997,0.607545,0.100000,0.006006,0.874182,0.860159,0.420638,0.182232,0.894232,0.287212,0.200000,0.000000,0.000000,0.000000,0.000000
0.795969,0.818238,0.100000,0.089643,0.707702,0.818037,0.545428,0.314036,0.706853,0.106190,0.100000,0.000000,0.000000,0.000000,0.000000
0.878702,0.923176,0.000000,0.271575,0.895775,0.962334,0.295127,0.019280,0.487606,0.055406,0.000000,0.000000,0.000000,0.000000,0.000000
0.807771,0.780115,0.000000,0.158308,0.918612,0.935642,0.373459,0.019773,0.951284,0.009523,0.000000,0.000000,0.000000,0.000000,0.000000
0.582766,0.423461,0.400000,0.226753,0.528068,0.400291,0.749069,0.190157,0.502617,0.133915,0.200000,0.000000,0.000000,0.000000,0.000000
0.978542,0.982019,0.000000,0.035536,0.851143,0.823001,0.526809,0.032642,0.818878,0.034184,0.000000,0.000000,0.000000,0.000000,0.000000
0.356554,0.229943,0.100000,0.224087,0.167095,0.191263,0.421301,0.242074,0.693109,0.312821,0.100000,1.000000,0.216137,0.400000,1.000000
0.751821,0.778347,0.000000,0.165084,0.757272,0.826011,0.427935,0.216633,0.893270,0.059005,0.000000,0.000000,0.000000,0.000000,0.000000
0.877457,0.908923,0.100000,0.083992,0.800930,0.847775,0.498609,0.181159,0.950344,0.191670,0.200000,0.000000,0.000000,0.000000,0.000000
0.891691,0.889020,0.000000,0.136839,0.948340,1.000000,0.596547,0.110925,0.831486,0.033552,0.000000,0.000000,0.000000,0.000000,0.000000
0.141401,0.174914,0.900000,0.297952,0.158498,0.120724,0.162441,0.788868,0.296233,0.728541,0.400000,1.000000,0.027357,1.000000,1.000000
0.305371,0.412899,0.200000,0.690472,0.363917,0.209120,0.283361,0.615198,0.537749,0.470180,0.500000,0.000000,0.000000,0.000000,1.000000
0.504711,0.612019,0.200000,0.222893,0.243499,0.154365,0.374466,0.429508,0.403835,0.575520,0.200000,1.000000,0.009226,0.400000,1.000000
0.764066,0.774610,0.000000,0.165948,0.742269,0.741103,0.514860,0.319283,0.792092,0.133979,0.000000,0.000000,0.000000,0.000000,0.000000
0.382543,0.427620,0.500000,0.391233,0.305165,0.141458,0.259599,0.267066,0.259842,0.743055,0.500000,1.000000,0.030581,0.400000,1.000000
0.908766,0.923427,0.000000,0.178988,0.414915,0.381736,0.495722,0.298324,0.791260,0.409832,0.100000,1.000000,0.010890,0.200000,0.000000
0.204328,0.269230,0.700000,0.529893,0.257202,0.128069,0.251338,0.565874,0.263762,0.902347,0.400000,1.000000,0.450955,1.000000,0.000000
0.555183,0.501260,0.100000,0.257700,0.817268,0.784329,0.532833,0.094025,0.680631,0.269336,0.000000,0.000000,0.000000,0.000000,0.000000
0.691805,0.688035,0.000000,0.432072,0.143788,0.116438,0.588908,0.347326,0.582391,0.402699,0.300000,1.000000,0.071953,0.600000,0.000000
0.727636,0.687250,0.000000,0.139297,0.750493,0.739117,0.654483,0.174027,0.663022,0.284277,0.100000,0.000000,0.000000,0.000000,0.000000
0.896416,0.865583,0.200000,0.332384,0.786223,0.777624,0.330389,0.035060,0.832575,0.097321,0.000000,0.000000,0.000000,0.000000,0.000000
0.676113,0.706725,0.200000,0.220180,0.813395,0.630589,0.425742,0.098585,0.835307,0.176276,0.000000,0.000000,0.000000,0.000000,0.000000
0.126253,0.237133,0.300000,0.568722,0.493871,0.414383,0.158744,0.654467,0.280379,0.531779,0.500000,1.000000,0.750516,0.600000,0.000000
0.496695,0.521393,0.400000,0.400325,0.359880,0.344090,0.456859,0.138528,0.397711,0.067853,0.400000,1.000000,0.017291,0.400000,1.000000
